id;title;short_desc;zone;infos;services;contact;address;mail;phone;openinghours;interneturl;appointmenturl;virtualvisiturl;crousandgourl;albumurl;bookingurl;troubleshootingurl;house_services;images;geocalisation;photo;regions
930;Cité U Arc de Meyran;En face de l'IUT;Aix-en-Provence;"329 chambres avec wc, douche, lavabo 

319 chambres rénovées de 9 m² : 269.00 €
Dépôt de garantie : 250, 00 €

   

8 chambres rénovées de 16 m² :  299.00 €
Dépôt de garantie : 280,00 €

   

2 chambres rénovées  de 20m² adaptées handicap : 342.00 €
Dépôt de garantie : 230,00 €

   
 Loyer mensuel TCC hors ALS (Loyer au 01/09/24) 
   
 Parking (Places limitées): 5 € par mois - 
   
 Comment s'y rendre ? 
 Bus 9, 16 - Arret de Meyran/ Coton Rouge 
   
   
 https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157661427292442";Interphone, parking, garage vélo, salle de sports, veilleur de nuit;"Cité U Arc de Meyran 
 564 avenue Gaston Berger 
 13621 Aix-en-Provence cedex 1Tél. : 04 42 93 64 75Fax : 04 42 27 11 92cu.arcdemeyran@crous-aix-marseille.fr";565 avenue Gaston Berger  13621 Aix-en-Provence cedex 1;cu.arcdemeyran@crous-aix-marseille.fr;04 42 93 64 75;;https://www.crous-aix-marseille.fr/;https://www.crous-aix-marseille.fr/;https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157661427292442;;;https://trouverunlogement.lescrous.fr/;https://www.crous-aix-marseille.fr/;"{""house_service"": [""Accessible PMR"", ""Parking PMR"", ""Parking"", ""Cuisine collective"", ""Douche individuelle"", ""Garage à vélos"", ""Internet / Wifi"", ""Laverie"", ""Salle de détente"", ""Salle de travail"", ""Salle de sport"", ""Surveillance / Sécurité"", ""Salle de jeux"", ""Distribution protections périodiques"", ""Distributeur boissons confiseries""]}";;43.51327, 5.453388;https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157661427292442;Provence-Alpes-Côte d'Azur
937;Cité U Luminy;Sur le campus de Luminy;Marseille;"(Loyer TCC hors ALS au 01/09/24) 
   

1016 Chambres rénovées de 9 m² : 269,00 €
Dépôt de garantie : 250 €

 

18 Chambres rénovées de 14 m² : 299,00 €
Dépôt de garantie : 280 €

 

19 Chambres rénovées de 18 m² adaptées aux personnes handicapées : 353,00 €
Dépôt de garantie : 330 €

 

14 Studios  de 20 m² : 372,00 €
Dépôt de garantie : 358,00 €

 

140 Studette B de 14 m² : 340,00 €
Dépôt degarantie : 330,00 €

 

136 Studette D de 14 m² : 340,00 €
Dépôt degarantie : 320,00 €

   

4 T3 de 64 m²  : 311,00 €/occupant
Dépôt de garantie : 870,00 €

   
 Les T3 sont composés de 3 chambres. 
   
 Les charges (internet, électricité et eau) sont comprises dans le loyer";Équipements collectifs : laverie, salles de travailparking, veilleur de nuit, restaurant et cafétéria universitaires de Luminy;"Cité U Luminy171 avenue de Luminy - 13288 Marseille cedex 09 
 Tél : 04 91 41 18 46 
 Fax : 04 91 41 72 81 
 cu.luminy@crous-aix-marseille.fr";171 avenue de Luminy - 13288 Marseille cedex 09;cu.luminy@crous-aix-marseille.fr;04 91 41 18 46;;https://www.crous-aix-marseille.fr/;https://www.crous-aix-marseille.fr/;https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157661507689141;;;https://www.crous-aix-marseille.fr/logements/comment-demander-un-logement/;https://www.crous-aix-marseille.fr/;"{""house_service"": [""Accessible PMR"", ""Parking PMR"", ""Parking"", ""Internet / Wifi"", ""Laverie"", ""Salle de travail"", ""Surveillance / Sécurité""]}";;43.2307891846, 5.4383120537;;Provence-Alpes-Côte d'Azur
950;Résidence La Miroiterie Avignonnaise;À proximité de l'université d'Avignon;Avignon;"(Loyer TCC hors ALS au 01/09/24)

110 appartements de type T1 de 20 à 22 m² dont 6 adaptés aux personnes à mobilité réduite
Tarifs : de 373,72 à 401,94 euros toutes charges comprises (hors APL) - Dépôt de garantie : 265 à 290 euros

   
 Parking extérieur : 20 €/mois 
   
   
 Comment s'y rendre ? 
 BUs 1, 3, 4, 6, 9, 12 
   
   
   
   
   
 Photos de la résidence
https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157661705403885";"Équipements collectifs : contrôle d'accès par badge, interphone, ascenseur, laverie, accès handicapés, parking extérieur 2 roues 
 Services sur location ou abonnement : parking extérieur, internet";"Résidence La Miroiterie Avignonnaise 
 3 route de Lyon - 84000 Avignon 
 À proximité immédiate de l'université d'Avignon 
 Tél : 04 90 80 65 23 
 antenne.avignon@crous-aix-marseille.fr";3 route de Lyon - 84000 Avignon;antenne.avignon@crous-aix-marseille.fr;04 90 80 65 23;;https://www.crous-aix-marseille.fr/;https://www.crous-aix-marseille.fr/;https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157661705403885;;;https://www.crous-aix-marseille.fr/logements/comment-demander-un-logement/;https://www.crous-aix-marseille.fr/;"{""house_service"": [""Accessible PMR"", ""Parking PMR"", ""Ascenseur"", ""Parking"", ""Garage à vélos"", ""Laverie"", ""Surveillance / Sécurité""]}";;43.9502716064, 4.8211278915;https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157661705403885;Provence-Alpes-Côte d'Azur
955;Résidence Li Passeroun;À proximité de l’IUT et de la faculté de Lettres, de l'UIT et du restaurant et de la cafétéria universitaires Les Fenouillères;Aix-en-Provence;"Les logements sont attribués prioritairement aux étudiants inscrits en L3 minimum et dans la limite des places disponibles. 
   
 (Loyer TCC hors ALS au 01/09/24) 
   

151 studios de 29 à 33m² : 356,64 à 396,51 € (électricité non comprise)
Dépôt de garantie : 270 €

   

59 T2 de 46 à 50m² (colocation) : 476,22 à 520,35 €
Dépôt de garantie : 350 €

   
 Internet compris dans le loyer 
    
 Attention : Logements HLM gérés par le Crous - electricité et eau non compris dans le loyer 
   
 Comment s'y rendre ? 
   
 Bus Aixpress et ligne 9 - Arrêt Berger";Parking;"Résidence Li Passeroun 
 150 avenue Gaston Berger - 13621 Aix-en-Provence cedex 1 
 À proximité de l’IUT et de la faculté de Lettres, de l'UIT et du restaurant et de la cafétéria Les Fenouillères 
 Tél : 04 42 93 64 75 
   
 cu.arcdemeyran@crous-aix-marseille.fr";150 avenue Gaston Berger - 13621 Aix-en-Provence cedex 1;cu.arcdemeyran@crous-aix-marseille.fr;04 42 93 64 75;;https://www.crous-aix-marseille.fr/;https://www.crous-aix-marseille.fr/;https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157660830664250;;;https://www.crous-aix-marseille.fr/logements/comment-demander-un-logement/;https://www.crous-aix-marseille.fr/;"{""house_service"": [""Parking"", ""Restauration sur place""]}";;43.5129394531, 5.4485068321;;Provence-Alpes-Côte d'Azur
1183;Résidence Jean Zay;Résidence située sur le campus Agroparc -  à proximité immédiate de l’UFR-ip Sciences;Avignon;"(Loyer TCC hors ALS au 01/09/24)

170 studios de 18m² - 334,64 €, dont 10 adaptés aux personnes en situation de handicap
Dépôt de garantie : 250

   
   
 Comment s'y rendre ? 
 Bus : 3, 4 
   
   
   
   
 Photos de la résidence  
 https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157673028776134";"contrôle d'accès par badge, interphone, laverie, accès handicapés, salles de travail, foyer, salle de sport, garage 2 rouesParking 
 La résidence dispose d'un jardin potager collectif";"Résidence Jean Zay 
 420 rue Baruch de SpinozaCampus Jean-Henri fabre84000 Avignon 
 Tél. : 04 90 27 00 24antenne.avignon@crous-aix-marseille.fr";420 rue Baruch de Spinoza Campus Jean-Henri fabre 84000 Avignon;antenne.avignon@crous-aix-marseille.fr;04 90 27 00 24;;https://www.crous-aix-marseille.fr/;https://www.crous-aix-marseille.fr/;;;;https://www.crous-aix-marseille.fr/logements/comment-demander-un-logement/;https://www.crous-aix-marseille.fr/;"{""house_service"": [""Accessible PMR"", ""Parking PMR"", ""Parking"", ""Garage à vélos"", ""Laverie"", ""Salle de détente"", ""Salle de travail"", ""Salle de sport"", ""Surveillance / Sécurité""]}";;43.9118292, 4.8896861000001;https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157673028776134;Provence-Alpes-Côte d'Azur
1202;Résidence U Opale;Située en centre ville. À proximité du campus et de la gare Saint-Charles;Marseille;"212 logements (Loyer TCC hors ALS au 01/09/24)

202 T1 de 19.3 à 26,5 m²
Loyer hors APL : 395,62 - 497,69 euros
Dépôt de garantie : 260 euros - 350 euros

   

7 T1 bis de 28m² (couple)
Loyer hors APL : 545,55 euros
Dépôt de garantie :  370 euros

   

3 T2 de 33,9m² (colocation)
Loyer hors APL : 629,14 euros
Dépôt de garantie : 450 euros

Loyer toutes charges comprises (électricité, eau, chauffage) avec internet haut débit.
   
 Tous les logements sont adaptés aux personnes en situation de handicap 
   
 Pour étudiant en L3 minimum 
   
 Colocation possible 
   
 Parking box fermé : 46 euros par mois";Équipements collectifs / services : Laverie,  parking, accès handicapés, câble;"Résidence Opale 
 24 rue du 141ème RIA - 13003 Marseille 
 Situé au Centre-ville, à proximité de la gare Saint-Charles 
 Tél: 04 91 64 41 73 
 cu.gastonberger@crous-aix-marseille.fr";24 rue du 141ème RIA - 13003 Marseille;cu.gastonberger@crous-aix-marseille.fr;04 91 64 41 73;;https://www.crous-aix-marseille.fr/;https://www.crous-aix-marseille.fr/;https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157707251281024;;;https://www.crous-aix-marseille.fr/logements/comment-demander-un-logement/;https://www.crous-aix-marseille.fr/;"{""house_service"": [""Accessible PMR"", ""Logement adaptable"", ""Parking PMR"", ""Parking"", ""Garage à vélos"", ""Laverie""]}";;43.304194, 5.381091;;Provence-Alpes-Côte d'Azur
1333;Résidence U Alice Chatenoud;Sur le campus de Saint-Jérôme;Marseille;"228 T1 de 18 m² à de 277,58 à 301,85 €
Dépôt de garantie : entre 160,00 et 170,00 €

 

12 T1 bis de 30 m² à 350,36 à 375,08 €
Dépôt de garantie : entre 220,00 et 230,00 €

   
 (Loyer TCC hors ALS au 01/09/24) 
   
 Pour les étudiants en master minimum 
   
 Colocation possible 
   
 Les charges (internet, électricité et eau) sont comprises dans le loyer 
   
 Parking en surface : 5 euros par mois";;"Cité U Alice Chatenoud
10 rue Henri Poincarré - 13388 Marseille cedex 13
Sur le campus de Saint-Jérôme
 Tél : 04 91 10 11 00
 Fax : 04 91 10 11 01
 cu.chatenoud@crous-aix-marseille.fr";10 rue Henri Poincarré - 13388 Marseille cedex 13;cu.chatenoud@crous-aix-marseille.fr;04 91 10 11 00;;https://www.crous-aix-marseille.fr/;https://www.crous-aix-marseille.fr/;;;;https://trouverunlogement.lescrous.fr/;https://www.crous-aix-marseille.fr/;"{""house_service"": [""Ascenseur"", ""Parking"", ""Douche individuelle"", ""Garage à vélos"", ""Internet / Wifi"", ""Laverie"", ""Salle de détente"", ""Salle de travail"", ""Salle TV"", ""Salle de sport"", ""Surveillance / Sécurité"", ""Kitchenette individuelle""]}";;43.335189, 5.408491;;Provence-Alpes-Côte d'Azur
1334;Résidence U Luminy;Sur le campus de Luminy;Marseille;"114 studios de 20 m² : 296,51 à 334,19 €
Dépôt de garantie : 175,00 €

   

43 T1 bis de 40 m² : 490,59 à 531,15 €
Dépôt de garantie : 295,00 € 

   
  (Loyer TCC hors ALS au 01/09/24) 
   
 Les charges (internet, électricité et eau) sont comprises dans le loyer";;"171 avenue de Luminy - 13288 Marseille cedex 09 
 Située sur le campus de Luminy : restaurant et cafétéria universitaires de Luminy à proximité 
 Tél : 04 91 41 18 46 
 cu.luminy@crous-aix-marseille.fr";171 avenue de Luminy - 13288 Marseille cedex 09;cu.luminy@crous-aix-marseille.fr;04 91 41 18 46;;https://www.crous-aix-marseille.fr/;https://www.crous-aix-marseille.fr/;https://www.flickr.com/photos/crousaixmarseilleavignon/albums/72157707251281024;;;https://www.crous-aix-marseille.fr/logements/comment-demander-un-logement/;https://www.crous-aix-marseille.fr/;"{""house_service"": [""Ascenseur"", ""Cuisine collective"", ""Douche individuelle"", ""Internet / Wifi"", ""Laverie"", ""Salle de travail"", ""Surveillance / Sécurité""]}";;43.2307891846, 5.4383120537;;Provence-Alpes-Côte d'Azur
1121;Résidence Fontaine au Roi 2;Résidence située au cœur de Belleville dans le 11e arrondissement, toutes commodités à proximité.;Paris 11;"Adresse de la résidence :

88-90 rue de la Fontaine au Roi 75011 Paris

Accès :

Métro : Couronnes (ligne 2)
Bus : 46, 96

   
Type de logement :
 


T1 17 m² - 431 €
T1 20 m² - 464 €
T1 22 m² - 497 €
T1 26 m² - 566 €

   
 avec Kitchenette, Sanitaires, Prises TV/téléphone, accès Internet (Connexion WIFI) compris dans le loyer indiqué. 
 avec Contrôle d'accès - Interphone - Salles de Convivialité - Laverie  - Local à vélos - Jardin ou cour 
 Accès personnes en situation de handicap. 

* Les charges locatives ont été révisées en août 2022";"Contrôle d'accès
Salle d'étude
Accès Internet
Accès personnes en situation de handicap
Local à vélos
Jardin
Résidence équipée de panneaux solaires";"<![CDATA[ 
<div class=""EncartVert"">
Résidence Fontaine au Roi 2
Accueil et renseignements Résidence Cours des Noues 6, rue de la Cour des Noues75020 Paris
Horaires :9h à 12h3013h30 à 16h

Contact : 01 40 51 55 88coursdesnoues@crous-paris.fr";88-90 rue de la Fontaine au Roi 75011 Paris;coursdesnoues@crous-paris.fr;01 40 51 55 88;"<p><span class=""TexteNorm11Blanc"">9h à 12h30</span><span class=""TexteNorm11Blanc""><br />13h30 à 16h</span></p>";https://www.crous-paris.fr/;https://www.crous-paris.fr/;;;;https://www.crous-paris.fr/logements/demander-logement-crous/;https://www.crous-paris.fr/;"{""house_service"": [""Accessible PMR"", ""Garage à vélos"", ""Internet / Wifi"", ""Laverie"", ""Salle de détente"", ""Salle de travail"", ""Surveillance / Sécurité""]}";;48.8690109253, 2.3774399757;http://www.crous-paris.fr/wp-content/uploads/sites/26/2016/01/Fontaine-au-roi-2.jpg;Île-de-France
1123;Résidence Cîteaux;Résidence située à proximité de la Gare de Lyon et de ses commodités : commerces de proximité, restaurants, bars, transport en commun...;Paris 12;"Adresse de la résidence :

45 Boulevard Diderot  75012 Paris

  Accès :

Métro : Gare de Lyon, Reuilly Diderot
Bus : 91, 29, 57, 63, 50, 24

   
Type de logement :
 


T1 11 m²- 277€
T1 13 m²- 317€
T1 14 m² - 343€
T1 17 m² - 395€
T1 18 m²- 416€
T1 22 m² - 464€
T1 31 m² - 593€

 avec Kitchenette, Sanitaires, Prises TV/téléphone, accès Internet (Connexion WIFI) est compris dans le loyer indiqué. 
 avec Contrôle d'accès - Interphone - Laverie - Local à vélos - Salle de travail 
 Accès personnes en situation de handicap. 

 
* Les charges locatives ont été révisées en août 2022";"Contrôle d’accès
Accueil jour
Salle d'activités culturelles
Accueil nuit
Laverie
Accès Internet
Ascenseur
Salles de réunion
Résidence à proximité de deux grands axes parisiens : Bastille et Gare de Lyon";"<![CDATA[ 
<div class=""EncartVert"">
Résidence Cîteaux
Accueil et renseignementsRésidence Cîteaux45 Boulevard Diderot 75012 Paris 
Horaires : 9h à 12h30 13h30 à 16h 
Contact :01 40 51 35 63";45 Boulevard Diderot  75012 Paris;;01 40 51 35 63;<p>9h à 12h30 <br />13h30 à 16h</p>;https://www.crous-paris.fr/;https://www.crous-paris.fr/;;;;https://www.crous-paris.fr/logements/demander-logement-crous/;https://www.crous-paris.fr/;"{""house_service"": [""Ascenseur"", ""Garage à vélos"", ""Internet / Wifi"", ""Laverie"", ""Salle de détente"", ""Salle de travail"", ""Surveillance / Sécurité""]}";"{""url"": [""https://admin-v2.crous-mobile.fr//media/house/20240611_a52e1aa_CROUSPARIS_RésidenceCiteaux_intérieur (23).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20240611_899766f_CROUSPARIS_RésidenceCiteaux_logemen (1).jpg""]}";48.8469009399, 2.3800399303;http://www.crous-paris.fr/wp-content/uploads/sites/26/2016/01/Citeaux.jpg;Île-de-France
